url,nat,cap
/titanic-victim/karl-johan-salander.html,Swedish,Stockholm
/titanic-victim/wilhelm-william-johansson-skoog.html,Swedish,Stockholm
/titanic-victim/elna-matilda-strom.html,Swedish,Stockholm
/titanic-survivor/johan-cervin-svensson.html,Swedish,Stockholm
/titanic-victim/johan-svensson.html,Swedish,Stockholm
/titanic-victim/olof-svensson.html,Swedish,Stockholm
/titanic-survivor/gunnar-isidor-tenglin.html,Swedish,Stockholm
/titanic-victim/hulda-amanda-adolfina-vestrom.html,Swedish,Stockholm
/titanic-victim/olof-edvin-vendel.html,Swedish,Stockholm
/titanic-survivor/august-wennerstrom.html,Swedish,Stockholm
/titanic-victim/carl-charles-peter-widegren.html,Swedish,Stockholm
/titanic-survivor/marguerite-rut-sandstrom.html,Swedish,Stockholm
/titanic-survivor/agnes-charlotta-sandstrom.html,Swedish,Stockholm
/titanic-survivor/beatrice-irene-sandstrom.html,Swedish,Stockholm
/titanic-victim/pehr-fabian-oliver-malkolm-myhrman.html,Swedish,Stockholm
/titanic-victim/elina-olsson.html,Swedish,Stockholm
/titanic-victim/olaf-elon-osen.html,Swedish,Stockholm
/titanic-survivor/oskar-palmquist.html,Swedish,Stockholm
/titanic-victim/paul-folke-palsson.html,Swedish,Stockholm
/titanic-victim/alma-cornelia-palsson.html,Swedish,Stockholm
/titanic-victim/stina-viola-palsson.html,Swedish,Stockholm
/titanic-victim/gosta-leonard-palsson.html,Swedish,Stockholm
/titanic-victim/torborg-danira-palsson.html,Swedish,Stockholm
/titanic-survivor/ernst-ulrik-persson.html,Swedish,Stockholm
/titanic-victim/anna-bernhardina-skoog.html,Swedish,Stockholm
/titanic-survivor/william-henry-tornquist.html,Swedish,Stockholm
/titanic-survivor/anton-kink.html,Swiss,Bern
/titanic-victim/vincenz-kink.html,Swiss,Bern
/titanic-victim/maria-kink.html,Swiss,Bern
/titanic-survivor/luise-kink-heilmann.html,Swiss,Bern
/titanic-survivor/hedwig-margaritha-frolicher.html,Swiss,Bern
/titanic-survivor/maximilian-frolicher-stehli.html,Swiss,Bern
/titanic-survivor/margaretha-frolicher-stehli.html,Swiss,Bern
/titanic-survivor/emma-sagesser.html,Swiss,Bern
/titanic-survivor/alfons-simonius-blumer.html,Swiss,Bern
/titanic-survivor/max-stahelin-maeglin.html,Swiss,Bern
/titanic-survivor/marie-marthe-jerwan.html,Swiss,Bern
/titanic-survivor/bertha-lehmann.html,Swiss,Bern
/titanic-victim/josef-arnold-franchi.html,Swiss,Bern
/titanic-victim/josefine-arnold-franchi.html,Swiss,Bern
/titanic-victim/aloisia-haas.html,Swiss,Bern
/titanic-survivor/luise-gretchen-kink-heilmann.html,Swiss,Bern
/titanic-victim/albert-wirz.html,Swiss,Bern
/titanic-victim/nicholas-nasser.html,Syrian,Damascus
/titanic-survivor/adele-nasser.html,Syrian,Damascus
/titanic-victim/gerios-yousseff-abi-saab.html,Syrian,Damascus
/titanic-survivor/shawneene-george-joseph.html,Syrian,Damascus
/titanic-victim/daher-shedid.html,Syrian,Damascus
/titanic-survivor/nassef-cassem-albimona.html,Syrian,Damascus
/titanic-victim/ahmed-ali.html,Syrian,Damascus
/titanic-survivor/helene-baclini.html,Syrian,Damascus
/titanic-survivor/marie-baclini.html,Syrian,Damascus
/titanic-survivor/eugenie-baclini.html,Syrian,Damascus
/titanic-survivor/latifa-baclini.html,Syrian,Damascus
/titanic-victim/fared-kassem-houssein.html,Syrian,Damascus
/titanic-survivor/fahim-philip-zenni-leeni.html,Syrian,Damascus
/titanic-victim/william-ali.html,Syrian,Damascus
/titanic-victim/adola-asim.html,Syrian,Damascus
/titanic-victim/ali-assam.html,Syrian,Damascus
/titanic-victim/malake-attalah.html,Syrian,Damascus
